feature_name,reason_cat
activation_amtActCurrent,AppUsage
activation_amtPerRestore_Wk12,AppUsage
activation_amtPerRestore_Wk2,AppUsage
activation_aveAmtAct_Wk12,AppUsage
activation_aveAmtAct_Wk2,AppUsage
activation_aveAmtPerAct_Wk12,AppUsage
activation_aveAmtPerAct_Wk2,AppUsage
activation_aveCntAct_Wk12,AppUsage
activation_aveCntAct_Wk2,AppUsage
activation_aveCntActCancel_Wk12,AppUsage
activation_aveCntActCancel_Wk2,AppUsage
activation_aveDayGapAct_Wk12,AppUsage
activation_aveDayGapAct_Wk2,AppUsage
activation_aveTip_Wk12,AppUsage
activation_aveTip_Wk2,AppUsage
activation_cancelRate_Wk12,AppUsage
activation_cancelRate_Wk2,AppUsage
activation_cntPerRestore_Wk12,AppUsage
activation_cntPerRestore_Wk2,AppUsage
activation_daySinceLastAct,AppUsage
activation_daySinceLastFailRestore,AppUsage
activation_daySinceLastRestore,AppUsage
activation_derived_daySinceLastFailRestoreLT15,AppUsage
activation_firstRestore,AppUsage
activation_nActCurrent,AppUsage
activation_nFailedRestore_Wk12,AppUsage
activation_nFailedRestore_Wk2,AppUsage
activation_nFailedTip_Wk12,AppUsage
activation_nFailedTip_Wk2,AppUsage
activation_pctAct56_Wk12,AppUsage
activation_pctAct56_Wk2,AppUsage
activation_pctActNight_Wk12,AppUsage
activation_pctActNight_Wk2,AppUsage
activation_pctLP_Wk12,AppUsage
activation_pctLP_Wk2,AppUsage
activation_preRestoreAmt,AppUsage
activation_tipRate_Wk12,AppUsage
activation_tipRate_Wk2,AppUsage
activation_tipRateExp,AppUsage
activation_trendamtPerRestore,AppUsage
activation_trendaveAmtAct,AppUsage
activation_trendaveAmtPerAct,AppUsage
activation_trendaveCntAct,AppUsage
activation_trendaveCntActCancel,AppUsage
activation_trendaveDayGapAct,AppUsage
activation_trendaveTip,AppUsage
activation_trendcancelRate,AppUsage
activation_trendcntPerRestore,AppUsage
activation_trendnFailedRestore,AppUsage
activation_trendnFailedTip,AppUsage
activation_trendpctAct56,AppUsage
activation_trendpctActNight,AppUsage
activation_trendpctLP,AppUsage
activation_trendtipRate,AppUsage
activation_wkSinceFirstAct,AppUsage
bank_abandoningAccount,MoneyManagement
bank_AHAmountOverOtherAmountinNWeeksN_2,MoneyManagement
bank_AHCountOverOtherCountinNWeeksN_2,MoneyManagement
bank_avgAmountPerEarningWithinNWeeksN_2,MoneyManagement
bank_avgAmountPerSpendingWithinNWeeksN_2,MoneyManagement
bank_avgAmountPerTransactionWithinNWeeksN_2,MoneyManagement
bank_avgEarningAmountWithinNWeeksN_2,MoneyManagement
bank_avgEarningCountWithinNWeeksN_2,MoneyManagement
bank_avgPayRollAmountWithinNweeksN_12,MoneyManagement
bank_avgPayRollCycle,MoneyManagement
bank_avgSpendingAmountWithinNWeeksN_2,MoneyManagement
bank_avgSpendingCountWithinNWeeksN_2,MoneyManagement
bank_avgTransactionAmountWithinNWeeksN_2,MoneyManagement
bank_avgTransactionCountWithinNWeeksN_2,MoneyManagement
bank_countConnectionChange,MoneyManagement
bank_countNegBalinNDaysN_14,MoneyManagement
bank_countOfAccounts,MoneyManagement
bank_earlistBalanceDate,
bank_earlistBankConnectionDate,
bank_earlistPayRollDate,
bank_earlistRestoreAccountTransactionDate,
bank_earningAmountRatioWithinNWeeksN_2,MoneyManagement
bank_earningAmountStdWithinNWeeksN_2,MoneyManagement
bank_earningCountRatioWithinNWeeksN_2,MoneyManagement
bank_getCurrentBalance,MoneyManagement
bank_getInstitutionId,Bank
bank_hadNegBalinNDaysN_14,MoneyManagement
bank_hasAutoLoaninEightWeeks,MoneyManagement
bank_hasBadTransactioninEightWeeks,MoneyManagement
bank_hasCreditCard,MoneyManagement
bank_hasFeeinEightWeeks,MoneyManagement
bank_hasLoan,MoneyManagement
bank_hasOverDraftinEightWeeks,MoneyManagement
bank_hasPayDayLoaninEightWeeks,MoneyManagement
bank_hasPhoneBillInEightWeeks,MoneyManagement
bank_hasR08InEightWeeks,MoneyManagement
bank_hasRecurringPaymentInEightWeeks,MoneyManagement
bank_hasSpendingGreaterOneThousandWithinNWeeksN_2,MoneyManagement
bank_hasSpendingGreaterThreeHundredWithinNWeeksN_2,MoneyManagement
bank_mostRecentPayRollAmountinNWeeksN_12,MoneyManagement
bank_paidEarlierCountWithinNWeeksN_12,Bank
bank_paidEarlierRatioWithinNWeeksN_12,Bank
bank_payRollCountwithinNWeeksN_12,MoneyManagement
bank_payRollHistGreaterThanNweeksN_12,MoneyManagement
bank_restoreAccountTenureinWeekN_2,Bank
bank_spendingAmountRatioWithinNWeeksN_2,MoneyManagement
bank_spendingAmountStdWithinNWeeksN_2,MoneyManagement
bank_spendingCountRatioWithinNWeeksN_2,MoneyManagement
bank_stdPayRollAmountWithinNweeksN_12,MoneyManagement
bank_stdPayRollCycle,MoneyManagement
bank_transactionAmountTrend,MoneyManagement
bank_TransactionBalanceWithinNWeeksN_2,MoneyManagement
bank_transactionCountTrend,MoneyManagement
bank_weeksSinceLastConnectionChange,MoneyManagement
cs_daySinceLastAudit,AppUsage
cs_lastAudit1Type,AppUsage
cs_lastAudit1Username,AppUsage
cs_lastAuditSource,AppUsage
cs_lastAuditType,AppUsage
cs_lastAuditUsername,AppUsage
cs_nAudit,AppUsage
cs_nAudit_Wk4,AppUsage
cs_nAudit1,AppUsage
cs_nAudit1_Wk4,AppUsage
cs_nAudit2,AppUsage
cs_nAudit2_Wk4,AppUsage
cs_nAudit3,AppUsage
cs_nAudit3_Wk4,AppUsage
cs_nCredit,AppUsage
cs_nCredit_Wk4,AppUsage
derived_aveAmtPerAct_Wk12_100,AppUsage
derived_aveCntActCancel_Wk2_GT0,AppUsage
derived_aveDayGapAct_Wk2_14,AppUsage
derived_aveTip_Wk12_GT9,AppUsage
derived_aveTip_Wk2_GT9,AppUsage
derived_daySinceLastFailRestore15to30,AppUsage
derived_daySinceLastFailRestore31to60,AppUsage
derived_daySinceLastFailRestore61to90,AppUsage
derived_daySinceLastFailRestoreGT90,AppUsage
derived_daySinceLastRestore15to30,AppUsage
derived_daySinceLastRestoreGT30,AppUsage
derived_daySinceLastRestoreLT15,AppUsage
derived_employerid,Employer
derived_hasCSCredit,AppUsage
derived_hourlyRateGT20,Employer
derived_lastPayrollStatus11,AppUsage
derived_nEmployerGT5,Employer
device_daySinceLastInstall,AppUsage
device_lastInstallOS,AppUsage
device_nInstall,AppUsage
device_nInstall_Wk2,AppUsage
employment_daySinceLastEmployment,Employer
employment_employer,Employer
employment_nEmployer,Employer
employment_nUserEmployment,Employer
employment_paytypeid,Employer
IsFail,
IsLoss,
payroll_daySinceLastPayrollRecordCreate,Employer
payroll_daySinceLastPayrollSetup,Employer
payroll_hourlyRate,Employer
payroll_isLastPayrollComplete,Employer
payroll_lastPayrollSetupBy,Employer
payroll_lastPayrollStatus,Employer
payroll_nPayrollSetup,Employer
payroll_nPayrollSetup_Wk4,Employer
payroll_nUniquePayrollSetupBy,Employer
payroll_nUniquePayrollSetupBy_Wk4,Employer
payroll_paycycleFrequencyId,Employer
predTime,
uid,
user_alphaInEmail,email
user_com,email
user_daysSinceSignup,AppUsage
user_digitInEmail,email
user_domain,email
user_edu,email
user_emailLength,email
user_nameinemail,email
user_net,email